Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
754, 30000, 919, 4792, 3
755, 30000, 919, 4788, 3
756, 30100, 919, 4792, 3
757, 30100, 919, 4792, 3
758, 30100, 919, 4792, 3
759, 30000, 918, 4792, 3
760, 30000, 921, 4792, 3
761, 30100, 918, 4788, 3
762, 30000, 919, 4788, 3
763, 30000, 919, 4792, 3
764, 30000, 919, 4792, 3
765, 30000, 919, 4792, 3
766, 30000, 919, 4792, 3
767, 30000, 919, 4792, 3
768, 30000, 918, 4788, 3
769, 30000, 918, 4788, 3
770, 30000, 919, 4792, 3
771, 30000, 919, 4792, 3
772, 30000, 919, 4788, 3
773, 30000, 919, 4792, 3
774, 30000, 919, 4792, 3
775, 30000, 918, 4788, 3
776, 30000, 919, 4792, 3
777, 30100, 919, 4792, 3
778, 30000, 919, 4792, 3
779, 30000, 918, 4792, 3
780, 30000, 919, 4788, 3
781, 30000, 919, 4792, 3
782, 30000, 918, 4788, 3
783, 30000, 918, 4792, 3
784, 30000, 919, 4792, 3
785, 30000, 919, 4788, 3
786, 30000, 919, 4792, 3
787, 30000, 919, 4792, 3
788, 30000, 918, 4788, 3
789, 30000, 919, 4792, 3
790, 30000, 919, 4788, 3
791, 30000, 919, 4788, 3
792, 30000, 919, 4792, 3
793, 30000, 919, 4792, 3
794, 30100, 918, 4792, 3
795, 30000, 919, 4792, 3
796, 30000, 919, 4792, 3
797, 30000, 918, 4788, 3
798, 30000, 919, 4788, 3
799, 30000, 918, 4788, 2
800, 30000, 919, 4792, 3
801, 30000, 919, 4792, 3
802, 30000, 918, 4788, 3
803, 30000, 918, 4784, 3
804, 30000, 918, 4792, 3
805, 30000, 919, 4792, 3
806, 30000, 918, 4788, 3
807, 30000, 918, 4788, 3
808, 30000, 919, 4792, 3
809, 30000, 918, 4788, 3
810, 30100, 919, 4784, 3
811, 30000, 919, 4788, 3
812, 30100, 918, 4792, 3
813, 30000, 919, 4788, 3
814, 30000, 918, 4792, 3
815, 30000, 918, 4788, 3
816, 30000, 918, 4788, 3
817, 30000, 918, 4788, 3
818, 30000, 919, 4788, 3
819, 30000, 919, 4788, 3
820, 30000, 919, 4792, 3
821, 30000, 919, 4792, 3
822, 30000, 918, 4788, 3
823, 30000, 918, 4788, 3
824, 30000, 918, 4788, 3
825, 30000, 919, 4792, 3
826, 30000, 919, 4788, 3
827, 30000, 918, 4788, 3
828, 30000, 918, 4788, 3
829, 30000, 919, 4792, 3
830, 30000, 919, 4788, 3
831, 30000, 918, 4792, 3
832, 30000, 918, 4788, 3
833, 30000, 918, 4788, 3
834, 30100, 919, 4788, 3
835, 30000, 919, 4788, 3
836, 30000, 919, 4788, 3
837, 30000, 919, 4792, 3
838, 30000, 919, 4792, 3
839, 30000, 921, 4792, 3
840, 30000, 919, 4792, 3
841, 30000, 919, 4792, 3
842, 30000, 919, 4792, 3
843, 30000, 919, 4792, 3
844, 30000, 918, 4792, 3
845, 30000, 918, 4788, 3
