Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
570, 25800, 816, 4804, 2
571, 25700, 816, 4800, 2
572, 25800, 816, 4800, 2
573, 25900, 823, 4800, 2
574, 25900, 821, 4800, 2
575, 25700, 816, 4804, 2
576, 25800, 819, 4804, 2
577, 25800, 816, 4800, 2
578, 25700, 816, 4800, 2
579, 25800, 819, 4800, 2
580, 25700, 818, 4800, 2
581, 25700, 816, 4800, 2
582, 25800, 818, 4800, 2
583, 25700, 816, 4804, 2
584, 25900, 819, 4800, 2
585, 26000, 824, 4800, 2
586, 25900, 821, 4800, 2
587, 25900, 824, 4800, 2
588, 26000, 824, 4800, 2
589, 26000, 826, 4800, 2
590, 26000, 824, 4800, 2
591, 26000, 826, 4800, 2
592, 26000, 828, 4800, 2
593, 26100, 826, 4800, 2
594, 26100, 826, 4800, 2
595, 26100, 824, 4796, 2
596, 26100, 826, 4800, 2
597, 26000, 826, 4800, 2
598, 26000, 826, 4800, 2
599, 26100, 824, 4800, 2
600, 26000, 826, 4800, 2
601, 26100, 826, 4800, 2
602, 26100, 824, 4800, 2
603, 26100, 826, 4800, 2
604, 26100, 826, 4800, 2
605, 26000, 826, 4800, 2
606, 26000, 824, 4796, 2
607, 26000, 826, 4800, 2
608, 26100, 824, 4800, 2
609, 26000, 826, 4800, 2
610, 26100, 824, 4800, 2
611, 26000, 824, 4800, 2
612, 26000, 826, 4800, 2
613, 26000, 824, 4800, 2
614, 26000, 824, 4800, 2
615, 26000, 824, 4800, 2
616, 26000, 824, 4800, 2
617, 26100, 824, 4804, 2
618, 26000, 824, 4800, 2
619, 25900, 824, 4800, 2
620, 26000, 824, 4800, 2
621, 25800, 819, 4800, 2
622, 25900, 819, 4800, 2
623, 25700, 816, 4800, 2
624, 25700, 816, 4804, 2
625, 25700, 818, 4800, 2
626, 25700, 816, 4800, 2
627, 25700, 818, 4800, 2
628, 25700, 816, 4800, 2
629, 25800, 819, 4800, 2
630, 25800, 816, 4804, 2
631, 25700, 819, 4804, 2
632, 25700, 816, 4800, 2
633, 25700, 818, 4804, 2
634, 25800, 819, 4804, 2
635, 25800, 819, 4800, 2
636, 25700, 819, 4804, 2
637, 25800, 819, 4800, 2
638, 25900, 821, 4800, 2
639, 25800, 819, 4804, 2
640, 25800, 819, 4800, 2
641, 25800, 816, 4800, 2
642, 25700, 819, 4800, 2
643, 25800, 816, 4800, 2
644, 25800, 819, 4804, 2
645, 26000, 824, 4800, 2
646, 26000, 824, 4796, 2
647, 25800, 818, 4804, 2
648, 25800, 819, 4800, 2
649, 25800, 819, 4804, 2
650, 25800, 816, 4804, 2
651, 25800, 819, 4804, 2
652, 25800, 819, 4800, 2
653, 25800, 819, 4800, 2
654, 25800, 819, 4800, 2
655, 25800, 819, 4800, 2
656, 25900, 823, 4804, 2
657, 26000, 824, 4800, 2
658, 25900, 821, 4804, 2
659, 25900, 821, 4800, 2
660, 25800, 816, 4800, 2
661, 25800, 819, 4796, 2
662, 25700, 819, 4804, 2
663, 25800, 819, 4800, 2
664, 25800, 816, 4804, 2
665, 25800, 819, 4804, 2
666, 25800, 816, 4800, 2
667, 25800, 816, 4804, 2
668, 25800, 819, 4800, 2
669, 25800, 819, 4800, 2
670, 25800, 819, 4800, 2
671, 25800, 819, 4800, 2
672, 25800, 819, 4800, 2
673, 25800, 819, 4800, 2
674, 25800, 819, 4804, 2
675, 25800, 821, 4800, 2
676, 25800, 819, 4804, 2
677, 25800, 819, 4800, 2
678, 25800, 816, 4800, 2
679, 25700, 819, 4800, 2
680, 25800, 819, 4800, 2
681, 25800, 819, 4804, 2
682, 25800, 819, 4800, 2
683, 26000, 824, 4800, 2
684, 25900, 819, 4800, 2
685, 25900, 821, 4804, 2
686, 25900, 819, 4800, 2
687, 25800, 819, 4800, 2
688, 25800, 819, 4804, 2
689, 25800, 819, 4804, 2
690, 25800, 819, 4800, 2
691, 25900, 821, 4800, 2
692, 25800, 821, 4800, 2
693, 25800, 819, 4804, 2
694, 25800, 819, 4800, 2
695, 25800, 819, 4800, 2
696, 26100, 823, 4800, 2
697, 25900, 821, 4800, 2
698, 25900, 819, 4800, 2
699, 25900, 821, 4800, 2
700, 25900, 819, 4800, 2
701, 25800, 819, 4800, 2
702, 25800, 819, 4796, 2
703, 25800, 821, 4800, 2
704, 25800, 819, 4800, 2
705, 25800, 819, 4800, 2
706, 25800, 823, 4804, 2
707, 25900, 819, 4800, 2
708, 25900, 821, 4804, 2
709, 26000, 826, 4800, 2
710, 26100, 826, 4800, 2
711, 26100, 826, 4800, 2
712, 26100, 828, 4800, 2
713, 26000, 821, 4800, 2
714, 26000, 824, 4800, 2
715, 25900, 824, 4800, 2
716, 26000, 824, 4800, 2
717, 26000, 824, 4800, 2
718, 26000, 824, 4800, 2
719, 26000, 824, 4800, 2
720, 26000, 824, 4804, 2
721, 25900, 824, 4800, 2
722, 26000, 821, 4796, 2
723, 25900, 821, 4800, 2
724, 26000, 824, 4800, 2
725, 25800, 819, 4800, 2
726, 25900, 819, 4800, 2
727, 25800, 819, 4800, 2
728, 25900, 821, 4804, 2
729, 25900, 824, 4800, 2
730, 25900, 821, 4800, 2
731, 25800, 819, 4800, 2
732, 25800, 819, 4804, 2
733, 25800, 819, 4800, 2
734, 25900, 819, 4804, 2
735, 25800, 821, 4800, 2
736, 25900, 819, 4804, 2
737, 25800, 819, 4800, 2
738, 25800, 819, 4800, 2
739, 25800, 819, 4800, 2
740, 25800, 819, 4804, 2
741, 25900, 819, 4800, 2
742, 25900, 821, 4800, 2
743, 25900, 823, 4804, 2
744, 26000, 824, 4800, 2
745, 25900, 821, 4800, 2
746, 25900, 821, 4800, 2
747, 25700, 819, 4800, 2
748, 25800, 819, 4804, 2
749, 25800, 819, 4800, 2
750, 25900, 819, 4800, 2
751, 25800, 819, 4800, 2
752, 26000, 823, 4804, 2
753, 26000, 824, 4800, 2
754, 26000, 821, 4800, 2
755, 25900, 824, 4800, 2
756, 26000, 821, 4800, 2
757, 26000, 824, 4804, 2
758, 25900, 821, 4800, 2
759, 26000, 821, 4800, 2
760, 25900, 821, 4804, 2
761, 26000, 821, 4796, 2
762, 25900, 824, 4800, 2
763, 25900, 821, 4800, 2
764, 25900, 824, 4800, 2
765, 25900, 823, 4800, 2
766, 25900, 826, 4804, 2
767, 25900, 824, 4804, 2
768, 25900, 821, 4800, 2
769, 25900, 821, 4800, 2
770, 25900, 823, 4800, 2
771, 26000, 824, 4800, 2
772, 26000, 824, 4800, 2
773, 26000, 824, 4800, 2
774, 25900, 824, 4800, 2
775, 25900, 821, 4800, 2
776, 25800, 819, 4800, 2
777, 25800, 819, 4800, 2
778, 25800, 821, 4800, 2
779, 25900, 819, 4800, 2
780, 25800, 821, 4800, 2
781, 25800, 816, 4800, 2
782, 25800, 816, 4800, 2
783, 25700, 819, 4800, 2
784, 25800, 819, 4800, 2
785, 25800, 819, 4804, 2
786, 25800, 821, 4800, 2
787, 25900, 823, 4804, 2
788, 25800, 818, 4804, 2
789, 25700, 816, 4800, 2
790, 25700, 816, 4800, 2
791, 25700, 819, 4800, 2
792, 25700, 816, 4804, 2
793, 25800, 816, 4800, 2
794, 25700, 816, 4800, 2
795, 25800, 816, 4800, 2
796, 25700, 818, 4804, 2
797, 25800, 816, 4800, 2
798, 25900, 821, 4800, 2
799, 25900, 821, 4800, 2
800, 25800, 819, 4800, 2
801, 25700, 819, 4800, 2
802, 25700, 814, 4800, 2
803, 25800, 819, 4800, 2
804, 25800, 819, 4800, 2
805, 25800, 816, 4800, 2
806, 25900, 821, 4800, 2
807, 25900, 819, 4800, 2
808, 25700, 816, 4800, 2
809, 25800, 818, 4800, 2
810, 25700, 814, 4800, 2
811, 25700, 816, 4800, 2
812, 25700, 819, 4804, 2
813, 25800, 819, 4804, 2
814, 25900, 821, 4800, 2
815, 25800, 819, 4800, 2
816, 25700, 814, 4800, 2
817, 25700, 814, 4800, 2
818, 25400, 808, 4804, 2
819, 25300, 808, 4800, 2
820, 24000, 782, 4808, 2
821, 22900, 780, 4804, 2
822, 23800, 770, 4808, 2
823, 23800, 767, 4808, 2
824, 25000, 801, 4804, 2
825, 22400, 734, 4812, 2
826, 22800, 749, 4808, 2
827, 23300, 757, 4808, 2
828, 23000, 749, 4808, 2
829, 23100, 757, 4808, 2
830, 23000, 751, 4812, 2
831, 23400, 762, 4808, 2
832, 24000, 787, 4804, 2
833, 25000, 801, 4800, 2
834, 24700, 791, 4804, 2
835, 24800, 793, 4804, 2
836, 24500, 791, 4804, 2
837, 24500, 788, 4804, 2
838, 24400, 787, 4804, 2
839, 24300, 783, 4804, 2
840, 23800, 777, 4808, 2
841, 24000, 772, 4808, 2
842, 24200, 782, 4808, 2
843, 24000, 777, 4804, 2
844, 24300, 782, 4804, 2
845, 24000, 778, 4804, 2
846, 24200, 780, 4808, 2
847, 24200, 783, 4804, 2
848, 24100, 778, 4804, 2
849, 24300, 787, 4808, 2
850, 24300, 783, 4804, 2
851, 24300, 783, 4804, 2
852, 24200, 780, 4808, 2
853, 24000, 773, 4804, 2
854, 24200, 782, 4804, 2
855, 24200, 782, 4808, 2
856, 24500, 788, 4804, 2
857, 24500, 788, 4804, 2
858, 24500, 788, 4804, 2
859, 24500, 787, 4804, 2
860, 24400, 788, 4804, 2
861, 24400, 787, 4804, 2
862, 24400, 788, 4804, 2
863, 24300, 783, 4804, 2
