Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
579, 28100, 873, 4796, 2
580, 28100, 873, 4796, 2
581, 28100, 873, 4796, 2
582, 28100, 873, 4796, 2
583, 28100, 873, 4796, 2
584, 28100, 872, 4796, 2
585, 28100, 873, 4796, 2
586, 28100, 873, 4792, 2
587, 28000, 873, 4796, 2
588, 28100, 873, 4796, 2
589, 28100, 873, 4796, 2
590, 28100, 873, 4796, 2
591, 28200, 877, 4796, 2
592, 28200, 877, 4796, 2
593, 28200, 877, 4796, 2
594, 28200, 877, 4796, 2
595, 28200, 875, 4792, 2
596, 28200, 875, 4792, 2
597, 28200, 875, 4792, 2
598, 28200, 877, 4796, 2
599, 28200, 877, 4796, 2
600, 28200, 877, 4796, 2
601, 28200, 875, 4792, 2
602, 28200, 877, 4796, 2
603, 28200, 877, 4796, 2
604, 28200, 877, 4796, 2
605, 28200, 877, 4796, 2
606, 28200, 877, 4796, 2
607, 28200, 875, 4796, 2
608, 28300, 877, 4792, 2
609, 28200, 878, 4796, 2
610, 28200, 877, 4796, 2
611, 28200, 877, 4796, 2
612, 28200, 877, 4796, 2
613, 28200, 877, 4796, 2
614, 28200, 875, 4796, 2
615, 28200, 877, 4796, 2
616, 28200, 875, 4792, 2
617, 28200, 877, 4796, 2
618, 28200, 877, 4796, 2
619, 28200, 877, 4796, 2
620, 28200, 877, 4796, 2
621, 28200, 877, 4796, 2
622, 28200, 873, 4796, 2
623, 28200, 877, 4796, 2
624, 28200, 875, 4792, 2
625, 28200, 875, 4796, 2
626, 28200, 877, 4796, 2
627, 28200, 877, 4796, 2
628, 28200, 877, 4796, 2
629, 28200, 877, 4796, 2
630, 28100, 877, 4796, 2
631, 28200, 877, 4796, 2
632, 28100, 873, 4796, 2
633, 28200, 875, 4796, 2
634, 28100, 873, 4792, 2
635, 28100, 873, 4792, 2
636, 28100, 873, 4792, 2
637, 28100, 873, 4792, 2
638, 28100, 877, 4796, 2
639, 28100, 873, 4796, 2
640, 28100, 873, 4792, 2
641, 28200, 873, 4792, 2
642, 28200, 877, 4796, 2
643, 28200, 877, 4792, 2
644, 28200, 877, 4796, 2
645, 28100, 877, 4796, 2
646, 28100, 873, 4792, 2
647, 28100, 873, 4792, 2
648, 28200, 875, 4792, 2
649, 28100, 873, 4792, 2
650, 28100, 873, 4796, 2
651, 28200, 877, 4796, 2
652, 28100, 877, 4796, 2
653, 28100, 873, 4796, 2
654, 28100, 873, 4792, 2
655, 28100, 873, 4792, 2
656, 28200, 873, 4792, 2
657, 28100, 877, 4792, 2
658, 28100, 873, 4796, 2
659, 28200, 873, 4796, 2
660, 28100, 872, 4796, 2
661, 28100, 873, 4796, 2
662, 28100, 873, 4796, 2
663, 28000, 872, 4796, 2
664, 28100, 873, 4796, 2
665, 28100, 873, 4796, 2
666, 28100, 872, 4796, 2
667, 28100, 873, 4796, 2
668, 28100, 873, 4792, 2
669, 28100, 873, 4796, 2
670, 28100, 873, 4796, 2
671, 28100, 877, 4796, 2
672, 28100, 873, 4796, 2
673, 28100, 873, 4796, 2
674, 28100, 873, 4796, 2
675, 28100, 873, 4796, 2
676, 28000, 873, 4796, 2
677, 28100, 873, 4796, 2
678, 28100, 873, 4796, 2
679, 28100, 873, 4792, 2
680, 28000, 873, 4796, 2
681, 28100, 872, 4796, 2
682, 28100, 872, 4796, 2
683, 28000, 872, 4796, 2
684, 28000, 872, 4796, 2
685, 28000, 872, 4796, 2
686, 28000, 872, 4796, 2
687, 28000, 872, 4796, 2
688, 28000, 870, 4792, 2
689, 28000, 872, 4796, 2
690, 28000, 872, 4792, 2
691, 28000, 872, 4796, 2
692, 28000, 872, 4796, 2
693, 28000, 872, 4796, 2
694, 28000, 872, 4796, 2
695, 28000, 872, 4796, 2
696, 28000, 872, 4792, 2
697, 28000, 872, 4796, 2
698, 28000, 872, 4796, 2
699, 28000, 872, 4796, 2
700, 28000, 872, 4796, 2
701, 28000, 872, 4796, 2
702, 28000, 872, 4796, 2
703, 28000, 872, 4796, 2
704, 27900, 870, 4792, 2
705, 28000, 872, 4796, 2
706, 28000, 872, 4796, 2
707, 28000, 872, 4796, 2
708, 28000, 872, 4796, 2
709, 28000, 872, 4796, 2
710, 28000, 872, 4796, 2
711, 28000, 870, 4796, 2
712, 28000, 872, 4796, 2
713, 27900, 872, 4796, 2
714, 27900, 872, 4796, 2
715, 28000, 872, 4792, 2
716, 28100, 872, 4796, 2
717, 28000, 872, 4796, 2
718, 28000, 873, 4796, 2
719, 28000, 872, 4796, 2
720, 28000, 872, 4796, 2
721, 28000, 872, 4796, 2
722, 28000, 872, 4796, 2
723, 28000, 872, 4796, 2
724, 28000, 872, 4796, 2
725, 28000, 872, 4796, 2
726, 28000, 868, 4796, 2
727, 28000, 868, 4796, 2
728, 27800, 867, 4796, 2
729, 27600, 862, 4796, 2
730, 27600, 862, 4796, 2
731, 27700, 864, 4796, 2
732, 28000, 870, 4796, 2
733, 28000, 873, 4796, 2
734, 28100, 873, 4796, 2
735, 28100, 873, 4792, 2
736, 28100, 873, 4796, 2
737, 28100, 877, 4796, 2
738, 28100, 875, 4796, 2
739, 28100, 877, 4796, 2
740, 28100, 873, 4796, 2
741, 28100, 873, 4796, 2
742, 28100, 873, 4796, 2
743, 28100, 873, 4796, 2
744, 28000, 873, 4796, 2
745, 28000, 873, 4792, 2
746, 28100, 873, 4796, 2
747, 28100, 873, 4796, 2
748, 28100, 873, 4796, 2
749, 28100, 873, 4792, 2
750, 28100, 873, 4796, 2
751, 28000, 873, 4792, 2
752, 28100, 873, 4796, 2
753, 28000, 873, 4796, 2
754, 28000, 872, 4796, 2
755, 28000, 870, 4796, 2
756, 27800, 867, 4796, 2
757, 27800, 867, 4792, 2
758, 27900, 867, 4796, 2
759, 27900, 868, 4796, 2
760, 27800, 867, 4796, 2
761, 27800, 868, 4796, 2
762, 27800, 867, 4796, 2
763, 27800, 867, 4796, 2
764, 27900, 868, 4796, 2
765, 27700, 864, 4792, 2
766, 27800, 864, 4796, 2
767, 27800, 868, 4796, 2
768, 27600, 864, 4796, 2
769, 27800, 867, 4792, 2
770, 27600, 862, 4796, 2
771, 27300, 849, 4796, 2
772, 27300, 855, 4796, 2
773, 27300, 855, 4800, 2
774, 27400, 857, 4796, 2
775, 27400, 857, 4796, 2
776, 27400, 857, 4800, 2
777, 27400, 857, 4800, 2
778, 26500, 834, 4800, 2
779, 26400, 836, 4800, 2
780, 26300, 831, 4800, 2
781, 26300, 834, 4800, 2
782, 26300, 831, 4800, 2
783, 26300, 834, 4800, 2
784, 26300, 829, 4796, 2
785, 26300, 831, 4800, 2
786, 26400, 834, 4800, 2
787, 26300, 831, 4800, 2
788, 26300, 831, 4800, 2
789, 26200, 831, 4800, 2
790, 26000, 824, 4800, 2
791, 27000, 849, 4796, 2
792, 27100, 850, 4800, 2
793, 27300, 855, 4800, 2
794, 27200, 850, 4796, 2
795, 27300, 855, 4800, 2
796, 27100, 849, 4796, 2
797, 27600, 862, 4796, 2
798, 27600, 862, 4796, 2
799, 27500, 862, 4796, 2
800, 27600, 862, 4796, 2
801, 27600, 864, 4796, 2
802, 27600, 864, 4796, 2
803, 27600, 862, 4796, 2
804, 27600, 862, 4796, 2
805, 27500, 859, 4796, 2
806, 27600, 859, 4796, 2
807, 27500, 859, 4796, 2
808, 27400, 857, 4800, 2
809, 27400, 857, 4800, 2
810, 27300, 855, 4796, 2
811, 27200, 852, 4800, 2
812, 27200, 850, 4796, 2
813, 27100, 850, 4796, 2
814, 27400, 857, 4800, 2
815, 27500, 859, 4796, 2
816, 27500, 859, 4796, 2
817, 27500, 859, 4796, 2
818, 27500, 857, 4796, 2
819, 27100, 852, 4796, 2
820, 27500, 857, 4796, 2
821, 27500, 857, 4796, 2
822, 28100, 873, 4796, 2
823, 28100, 870, 4796, 2
824, 28400, 880, 4796, 2
825, 28400, 882, 4792, 2
826, 28400, 882, 4796, 2
827, 28400, 882, 4796, 2
828, 28400, 880, 4792, 2
829, 28500, 883, 4796, 2
830, 28500, 883, 4796, 2
831, 28500, 883, 4796, 2
832, 28500, 883, 4792, 2
833, 28500, 883, 4792, 2
834, 28600, 887, 4792, 2
835, 28600, 887, 4796, 2
836, 28500, 883, 4796, 2
837, 28400, 883, 4796, 2
838, 28400, 882, 4796, 2
839, 28400, 882, 4796, 2
840, 28400, 882, 4796, 2
841, 28400, 880, 4796, 2
842, 28400, 878, 4792, 2
843, 28400, 882, 4796, 2
844, 28400, 882, 4796, 2
845, 28400, 878, 4796, 2
846, 28300, 878, 4796, 2
847, 28300, 878, 4792, 2
848, 28400, 878, 4792, 2
849, 28300, 878, 4796, 2
850, 28300, 878, 4796, 2
851, 28200, 878, 4796, 2
852, 28200, 878, 4796, 2
853, 28200, 877, 4796, 2
854, 28200, 877, 4796, 2
855, 28100, 873, 4792, 2
856, 28100, 873, 4796, 2
857, 28000, 868, 4796, 2
858, 27900, 868, 4796, 2
859, 27300, 852, 4796, 2
860, 27900, 868, 4796, 2
861, 27800, 864, 4796, 2
862, 27600, 862, 4796, 2
863, 27600, 859, 4796, 2
