Measurement #, Current (mA), Power (mW), Bus voltage (mV), Shunt voltage (mV) 
831, 3500, 303, 4876, 0
832, 2900, 275, 4876, 0
833, 15400, 288, 4880, 0
834, 3100, 606, 4880, 0
835, 3400, 293, 4880, 0
836, 3300, 295, 4880, 0
837, 3600, 285, 4872, 0
838, 12100, 293, 4876, 0
839, 16200, 275, 4880, 0
840, 3400, 285, 4876, 0
841, 3200, 280, 4880, 0
842, 3600, 280, 4880, 0
843, 3500, 295, 4876, 1
844, 13200, 293, 4880, 0
845, 3700, 285, 4880, 0
846, 3600, 280, 4880, 0
847, 3400, 290, 4880, 0
848, 2900, 293, 4880, 1
849, 3600, 284, 4880, 0
850, 3300, 239, 4880, 0
851, 3700, 279, 4880, 0
852, 3200, 290, 4880, 0
853, 3400, 290, 4876, 1
854, 3900, 290, 4880, 0
855, 3700, 236, 4876, 0
856, 3600, 292, 4880, 0
857, 3400, 288, 4880, 0
858, 3800, 298, 4876, 0
859, 2600, 279, 4880, 0
860, 4100, 234, 4880, 0
861, 3400, 287, 4880, 0
862, 3700, 293, 4896, 0
863, 3800, 285, 4880, 0
